date,occupancy,capacity,% occupied
28/06/2017,4927,5184,95.04243827160494
28/07/2017,4966,5417,91.67435850101532
28/08/2017,5004,5281,94.75478129142208
28/09/2017,5151,5368,95.9575260804769
28/10/2017,5381,5483,98.1397045413095
28/11/2017,5374,5570,96.48114901256733
28/12/2017,5495,5755,95.48218940052129
29/01/2017,4424,4709,93.94775960925887
29/03/2017,4553,4821,94.44098734702344
29/04/2017,4821,5011,96.20834164837358
29/05/2017,4831,5057,95.53094720189836
29/06/2017,4902,5184,94.56018518518519
29/07/2017,5027,5417,92.80044304965848
29/08/2017,5008,5281,94.83052452187086
29/09/2017,5127,5368,95.51043219076007
29/10/2017,5364,5483,97.82965529819442
29/11/2017,5363,5574,96.21456763545031
29/12/2017,5534,5755,96.1598609904431
30/01/2017,4350,4714,92.27831989817564
30/03/2017,4597,4821,95.35366106616885
30/04/2017,4831,5011,96.40790261424866
30/05/2017,4831,5057,95.53094720189836
30/06/2017,4866,5184,93.86574074074075
30/07/2017,5013,5417,92.54199741554366
30/08/2017,5032,5281,95.28498390456352
30/09/2017,5194,5368,96.7585692995529
30/10/2017,5306,5483,96.77184023344884
30/11/2017,5337,5574,95.7481162540366
30/12/2017,5537,5755,96.21198957428322
31/01/2017,4327,4699,92.08342200468185
31/03/2017,4642,4938,94.00567031186715
31/05/2017,4810,5054,95.17214087851207
31/07/2017,4921,5407,91.01165156278897
31/08/2017,5008,5281,94.83052452187086
31/10/2017,5235,5483,95.47692868867408
31/12/2017,5520,5755,95.91659426585578
